epoch,lr-Adam,step,test_loss,test_mae,test_r2,train_loss,train_mae_epoch,train_mae_step,train_r2_epoch,train_r2_step,valid_loss,valid_mae,valid_r2
84,,2779,,,,,,nan,,nan,,,
,0.001,2799,,,,,,,,,,,
84,,2799,,,,,,nan,,nan,,,
84,,2804,,,,,,,,,nan,nan,nan
84,,2804,,,,nan,nan,,nan,,,,
,0.001,2805,,,,,,,,,,,
,0.001,2819,,,,,,,,,,,
85,,2819,,,,,,nan,,nan,,,
85,,2837,,,,,,,,,nan,nan,nan
85,,2837,,,,nan,nan,,nan,,,,
,0.001,2838,,,,,,,,,,,
,0.001,2839,,,,,,,,,,,
86,,2839,,,,,,nan,,nan,,,
,0.001,2859,,,,,,,,,,,
86,,2859,,,,,,nan,,nan,,,
86,,2870,,,,,,,,,nan,nan,nan
86,,2870,,,,nan,nan,,nan,,,,
,0.001,2871,,,,,,,,,,,
,0.001,2879,,,,,,,,,,,
87,,2879,,,,,,nan,,nan,,,
,0.001,2899,,,,,,,,,,,
87,,2899,,,,,,nan,,nan,,,
87,,2903,,,,,,,,,nan,nan,nan
87,,2903,,,,nan,nan,,nan,,,,
,0.001,2904,,,,,,,,,,,
,0.001,2919,,,,,,,,,,,
88,,2919,,,,,,nan,,nan,,,
88,,2936,,,,,,,,,nan,nan,nan
88,,2936,,,,nan,nan,,nan,,,,
,0.001,2937,,,,,,,,,,,
,0.001,2939,,,,,,,,,,,
89,,2939,,,,,,nan,,nan,,,
,0.001,2959,,,,,,,,,,,
89,,2959,,,,,,nan,,nan,,,
89,,2969,,,,,,,,,nan,nan,nan
89,,2969,,,,nan,nan,,nan,,,,
,0.001,2970,,,,,,,,,,,
,0.001,2979,,,,,,,,,,,
90,,2979,,,,,,nan,,nan,,,
,0.001,2999,,,,,,,,,,,
90,,2999,,,,,,nan,,nan,,,
90,,3002,,,,,,,,,nan,nan,nan
90,,3002,,,,nan,nan,,nan,,,,
,0.001,3003,,,,,,,,,,,
,0.001,3019,,,,,,,,,,,
91,,3019,,,,,,nan,,nan,,,
91,,3035,,,,,,,,,nan,nan,nan
91,,3035,,,,nan,nan,,nan,,,,
,0.001,3036,,,,,,,,,,,
,0.001,3039,,,,,,,,,,,
92,,3039,,,,,,nan,,nan,,,
,0.001,3059,,,,,,,,,,,
92,,3059,,,,,,nan,,nan,,,
92,,3068,,,,,,,,,nan,nan,nan
92,,3068,,,,nan,nan,,nan,,,,
,0.001,3069,,,,,,,,,,,
,0.001,3079,,,,,,,,,,,
93,,3079,,,,,,nan,,nan,,,
,0.001,3099,,,,,,,,,,,
93,,3099,,,,,,nan,,nan,,,
93,,3101,,,,,,,,,nan,nan,nan
93,,3101,,,,nan,nan,,nan,,,,
,0.001,3102,,,,,,,,,,,
,0.001,3119,,,,,,,,,,,
94,,3119,,,,,,nan,,nan,,,
94,,3134,,,,,,,,,nan,nan,nan
94,,3134,,,,nan,nan,,nan,,,,
,0.001,3135,,,,,,,,,,,
,0.001,3139,,,,,,,,,,,
95,,3139,,,,,,nan,,nan,,,
,0.001,3159,,,,,,,,,,,
95,,3159,,,,,,nan,,nan,,,
95,,3167,,,,,,,,,nan,nan,nan
95,,3167,,,,nan,nan,,nan,,,,
,0.001,3168,,,,,,,,,,,
,0.001,3179,,,,,,,,,,,
96,,3179,,,,,,nan,,nan,,,
,0.001,3199,,,,,,,,,,,
96,,3199,,,,,,nan,,nan,,,
96,,3200,,,,,,,,,nan,nan,nan
96,,3200,,,,nan,nan,,nan,,,,
,0.001,3201,,,,,,,,,,,
,0.001,3219,,,,,,,,,,,
97,,3219,,,,,,nan,,nan,,,
97,,3233,,,,,,,,,nan,nan,nan
97,,3233,,,,nan,nan,,nan,,,,
,0.001,3234,,,,,,,,,,,
,0.001,3239,,,,,,,,,,,
98,,3239,,,,,,nan,,nan,,,
,0.001,3259,,,,,,,,,,,
98,,3259,,,,,,nan,,nan,,,
98,,3266,,,,,,,,,nan,nan,nan
98,,3266,,,,nan,nan,,nan,,,,
,0.001,3267,,,,,,,,,,,
,0.001,3279,,,,,,,,,,,
99,,3279,,,,,,nan,,nan,,,
,0.001,3299,,,,,,,,,,,
99,,3299,,,,,,nan,,nan,,,
99,,3299,,,,,,,,,nan,nan,nan
99,,3299,,,,nan,nan,,nan,,,,
,0.001,3300,,,,,,,,,,,
,0.001,3319,,,,,,,,,,,
100,,3319,,,,,,nan,,nan,,,
100,,3332,,,,,,,,,nan,nan,nan
100,,3332,,,,nan,nan,,nan,,,,
,0.001,3333,,,,,,,,,,,
,0.001,3339,,,,,,,,,,,
101,,3339,,,,,,nan,,nan,,,
,0.001,3359,,,,,,,,,,,
101,,3359,,,,,,nan,,nan,,,
101,,3365,,,,,,,,,nan,nan,nan
101,,3365,,,,nan,nan,,nan,,,,
,0.001,3366,,,,,,,,,,,
,0.001,3379,,,,,,,,,,,
102,,3379,,,,,,nan,,nan,,,
